"Name","Quantity","Avg Price","Last Traded","Investment","Current Value","P&L","P&L %"
"Pace Digitek",68,"219.00","196.69","14,892.00","13,374.92","-1,517.08","-10.19%"
"Paras Defence Space Tech",2,"732.50","1,200.00","1,465.00","2,400.00","935.00","63.82%"
"Pine Labs",67,"221.00","146.39","14,807.00","9,808.13","-4,998.87","-33.76%"
"Pondy Oxides & Chemical",7,"344.94","529.90","2,414.58","3,709.30","1,294.72","53.62%"
"Praj Industries",10,"310.55","323.70","3,105.50","3,237.00","131.50","4.23%"
"Radico Khaitan",1,"2,997.90","4,098.20","2,997.90","4,098.20","1,100.30","36.70%"
"Rail Vikas Nigam",8,"508.48","225.00","4,067.80","1,800.00","-2,267.80","-55.75%"
"Railtel Corporation of India",5,"506.41","285.15","2,532.05","1,425.75","-1,106.30","-43.69%"
"SBI Funds Management",26,"574.00","581.15","14,924.00","15,109.90","185.90","1.25%"
"Steel Authority of India",14,"132.35","161.15","1,852.90","2,256.10","403.20","21.76%"
"Sterlite Technologies",2,"415.58","535.10","831.15","1,070.20","239.05","28.76%"
"TVS Motors",1,"3,557.00","3,878.80","3,557.00","3,878.80","321.80","9.05%"
"Tata Capital",46,"326.00","338.60","14,996.00","15,575.60","579.60","3.87%"
"Tata Motors",7,"215.95","403.70","1,511.65","2,825.90","1,314.25","86.94%"
"Tata Motors Passenger Vehicles",12,"426.35","324.55","5,116.15","3,894.60","-1,221.55","-23.88%"
"Titagarh Rail Systems",5,"1,279.05","818.30","6,395.25","4,091.50","-2,303.75","-36.02%"
"Trent",1,"4,622.55","2,904.00","4,622.55","2,904.00","-1,718.55","-37.18%"
"Union Bank of India",15,"152.25","169.66","2,283.72","2,544.90","261.18","11.44%"
"VA Tech Wabag",1,"1,603.45","2,047.00","1,603.45","2,047.00","443.55","27.66%"
"Varun Beverages",5,"541.65","457.25","2,708.25","2,286.25","-422.00","-15.58%"
"Vikram Solar",8,"379.85","182.73","3,038.80","1,461.84","-1,576.96","-51.89%"
"Vishal Mega Mart",40,"135.18","108.36","5,407.20","4,334.40","-1,072.80","-19.84%"
"Voltas",1,"1,361.00","1,330.70","1,361.00","1,330.70","-30.30","-2.23%"
"Waaree Energies",1,"2,584.50","2,714.00","2,584.50","2,714.00","129.50","5.01%"
"Zaggle Prepaid Ocean Services",4,"549.50","201.13","2,198.00","804.52","-1,393.48","-63.40%"
